EmpID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,WorkLifeBalance,OverTime,JobSatisfaction,PerformanceRating,TrainingHours,Attrition
1001,34,Male,IT,"Data Analyst",65000,3,2,Yes,3,4,12,Yes
1002,29,Female,HR,"HR Executive",42000,1,3,No,2,3,8,Yes
1003,41,Male,Finance,Accountant,72000,10,4,No,4,5,15,No
1004,36,Female,IT,"Software Engineer",80000,7,3,Yes,2,3,10,Yes
1005,27,Male,Operations,Manager,50000,2,2,Yes,1,2,6,Yes
1006,45,Female,Finance,"Senior Analyst",90000,15,4,No,5,5,20,No
1007,31,Male,HR,Recruiter,38000,1,1,Yes,1,2,5,Yes
1008,39,Female,IT,"Team Lead",95000,9,4,No,4,5,18,No
1009,28,Male,Sales,"Sales Exec",35000,1,2,Yes,2,3,7,Yes
1010,44,Female,Operations,Manager,78000,12,4,No,4,5,16,No
